id,Author,Text,User Location,Tweet Country,created_at
1356279720078356481,chrisparente,"RT @AuroraGov: The @CDPHE is seeking public feedback on a proposed update to the COVID-19 dial. Feedback is due by 5 p.m. today, Feb. 1. Vi…","Denver, CO",None,2021-02-01 16:34:18
1356279721038917636,Omobola65028838,"RT @Awomanofpeace: Reps have begun the probe of N83.9billion COVID-19 funds

Get ready for fainting😊😊...","Lagos, Nigeria",None,2021-02-01 16:34:18
1356279722024562689,ComarketingNews,Covid-19 : Quel impact sur le #ecommerce b2b ? https://t.co/KMMI85UkK4,Land of the Web,None,2021-02-01 16:34:18
1356279722959917065,EmblematicShift,"RT @CNNPolitics: Capitol Police deny request to allow sledding on the west side of the complex, citing security concerns and Covid-19 https…",1996 BrExodus 2020,None,2021-02-01 16:34:19
1356279722909573123,AEssaji,"Great work, Wendy!",,None,2021-02-01 16:34:19
1356279724541095938,capricornintbet,"RT @SethMacFarlane: Dodger Stadium’s COVID-19 vaccination site temporarily shut down after protesters gather at entrance — Folks, this is t…","Knoxville, TN",None,2021-02-01 16:34:19
1356279724666978310,slimchick1900,RT @CTVNews: Quebec reports significant drop in daily COVID-19 cases with just 890 new infections on Monday https://t.co/u1H4FsqbLQ https:/…,Trinidad,None,2021-02-01 16:34:19
1356279725593927680,gabeAlfassy,"It’s interesting how I keep breaking the news, science should study me (not for free tho). I am living proof that Y… https://t.co/bGQg6f3DnL",NY/LA,None,2021-02-01 16:34:19
1356279725883273217,sue_dann,"RT @plymouthcc: Here are today's Covid-19 figures.

Although rates are dropping, it's vital that we all continue to follow  the national gu…","Plymouth, England",None,2021-02-01 16:34:19
1356279731226701824,Ntscha_,RT @ayshardzn: Perth now under full lockdown for 5 days after one COVID-19 case detected. One.,,None,2021-02-01 16:34:21
1356279732761976835,GradyForrer,"RT @SabrinaSiddiqui: At WH Covid-19 briefing, @ASlavitt announces the Biden administration is approving an over-the-counter, self-administe…","Washington, D.C.",None,2021-02-01 16:34:21
1356279733579866113,MarlaStromberg,⚡️ “We asked Covid-19 experts what summer 2021 will be like” by @WiredUK https://t.co/SsIic5WA4y,"Canary Wharf, London",None,2021-02-01 16:34:21
1356279734079025153,willina_m,RT @WellChild: WellChild launches its latest #impact report today reflecting on an historic year for the charity &amp; the families it supports…, Montecito,None,2021-02-01 16:34:21
1356279733676167168,Varun11550900,RT @badralbusaidi: Heartfelt thanks to our close friends in #India. We stand united against Covid-19  and this initiative is a testimony of…,"Delhi, India",None,2021-02-01 16:34:21
1356279735828025347,MrGoose59899263,"RT @indepdubnrth: Please share and Tweet. Dr Pat Morrissey, has been standing up for his patients, for the victims of Covid-19,  and the vi…",,None,2021-02-01 16:34:22
1356279738759667712,the_cativist,"RT @MattHaneySF: White House announcing this morning an over the counter COVID-19 test you can use at home, that will give results in 15 mi…",,None,2021-02-01 16:34:22
1356279738793398272,CECANational,RT @jmurphyandsons: A warm welcome to all the young people starting their #Kickstart placement at Murphy today! With the impact of Covid-19…,"Westminster, London, UK",None,2021-02-01 16:34:22
1356279740550832130,bossymama57,"RT @Yamiche: New D.C. means charts and policy debates.

Pres Biden has pledged to try to get bipartisan support for his $1.9T plan. 

At 5…",,None,2021-02-01 16:34:23
1356279740898963459,SBA_Columbus,"This is a great way to get professional, personalized help for your #smallbiz during COVID-19:","Columbus, OH",None,2021-02-01 16:34:23
1356279741888811016,GWShorter,"RT @AlcoholPodcast: 'It's really vitally important that we don't have the alcohol industry at the policy table, whether we're inside a pand…","Bangor, Northern Ireland",None,2021-02-01 16:34:23
1356279743046430725,lindaws,"UK variant infecting and killing Canadians @ShelaghFogarty 

Barrie, Ont., nursing home faces proposed class-action… https://t.co/L3gMVa2Dp1",Peace River  ,None,2021-02-01 16:34:23
